AMC Name,AMC Launch Date,Mutual Fund Name,AUM,Type,Scheme Launch Date,Expense Ratio,Investment Type,NAV,Minimum Investment,Minimum SIP Amount,Total Return,1m_return,1y_return,2y_return,3y_return,4y_return,5y_return,10y_return,Exit Load Per,Exit Load Days
LIC,1994-04-20,LIC MF Large & Mid Cap Fund Direct Growth,2117.9944,Equity,2015-02-25,0.82,Large & MidCap,29.2887,5000,1000,192.888,4.6222869962,13.8423865514,22.900555152257,88.924652806894,93.431384851106,90.278445486792,0.0,1.0,360
MOTILAL_OSWAL,2009-12-29,Motilal Oswal Nifty 500 Index Fund Direct   Growth,480.66,Other,2019-09-06,0.37,Index,19.2793,500,500,94.027,5.7350561026,20.6335488684,25.71482256591,89.302021542304,0.0,0.0,0.0,1.0,15
Baroda,1994-11-24,Baroda Midcap Direct Fund Growth,92.0401,Equity,2013-01-02,1.55,Mid Cap,17.8351,5000,500,138.134846,-3.7436589315,27.4932094353,95.788144895718,88.743915343915,78.006986027944,118.85030674847,0.0,1.0,365
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Flexi Cap Fund Direct Growth,17024.652,Equity,2013-01-01,0.9,Flexi Cap,1384.13,100,100,395.66953,5.832305983,21.7605239196,19.579704038727,89.76339273531,87.334985721213,87.216455985891,450.75046532811,1.0,90
Sundaram,1996-02-26,Sundaram Dividend Yield Fund Direct Growth,495.03388446,Equity,2013-01-02,1.48,Dividend Yield,103.6632,5000,500,290.275009,5.539580737,21.120409485,24.957293666026,88.158236994219,102.33954933955,91.972723921857,361.10845506861,1.0,365
UTI,2002-11-14,UTI Hybrid Equity Fund Direct Fund Growth,4699.0107,Hybrid,2013-01-01,1.32,Aggressive Hybrid,310.7753,1000,500,254.228814,5.3867888533,21.2425043461,28.534422423827,88.571681209389,84.682747508785,81.407617913432,274.55643571454,1.0,360
SBI,1987-06-29,SBI Magnum COMMA Fund Direct Growth,444.0586,Equity,2013-01-04,2.03,Sectoral / Thematic,76.6655,5000,500,246.77931,2.2913134875,13.5393036009,4.968811843984,85.870312550056,105.18369401107,98.946243933319,360.82432655355,0.5,30
KOTAK_MAHINDRA,1994-08-05,Kotak Focused Equity Fund Direct   Growth,2692.9866,Equity,2019-07-16,0.46,Focused,19.268,100,100,94.59,5.2805280528,19.226763066,25.43673048411,87.71946748987,94.124102154828,0.0,0.0,1.0,365
SBI,1987-06-29,SBI Focused Equity Fund Direct Plan Growth,28989.8861,Equity,2013-01-01,0.71,Focused,284.2545,5000,500,360.517041,5.7895830473,19.6562819883,22.219878760131,88.007290649359,92.198239714816,102.71472654361,450.58601105011,1.0,365
MAHINDRA,2016-02-04,Mahindra Manulife Large Cap Fund Direct   Growth,254.6133,Equity,2019-03-15,0.73,Large Cap,18.7637,1000,500,88.944,6.1310235973,20.2675951446,25.449161432536,87.639902676399,89.24489939003,0.0,0.0,1.0,90
INDIABULLS,2008-04-10,Groww Value Fund Direct Growth,10.19280434,Equity,2015-09-08,1.08,Value,21.7804,500,500,118.485,6.0853985395,18.3520578963,23.116498179892,85.359418347176,84.445570047697,65.312299020164,0.0,1.0,365
UNION_KBC,2009-12-30,Union Focused Fund Direct   Growth,347.7739,Equity,2019-08-05,1.42,Focused,20.46,1000,1000,108.6,7.304526749,20.0921128382,24.019024970273,89.636363636363,0.0,0.0,0.0,1.0,15
FRANKLIN_TEMPLETON,1996-02-19,Franklin India Dynamic Asset Allocation Fund of Funds Direct Growth,1152.92126314,Other,2013-01-01,0.39,FoF Overseas/Domestic,139.6889,5000,1000,201.895657,3.7778227453,16.6848571654,28.806247213878,85.334028531575,55.540894882977,66.557731854983,210.74897373293,1.0,365
HDFC,1999-12-10,HDFC Hybrid Equity Fund Direct Plan Growth,20462.5425,Hybrid,2013-01-01,1.08,Aggressive Hybrid,99.991,100,100,251.424526,4.644968893,22.5752830643,28.904033238751,87.017808244353,83.98813936249,90.48349961627,394.51841772767,1.0,365
Baroda,1994-11-24,Baroda BNP Paribas Banking and Financial Services Direct Growth,84.9371,Equity,2013-01-02,1.45,Sectoral / Thematic,36.4529,5000,500,208.76292,6.3475334612,24.0187420919,26.302684563758,81.914934751087,53.063033753558,64.000871459694,286.82631038027,1.0,360
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Frontline Equity Direct Fund Growth,23272.90009542,Equity,2013-01-01,1.02,Large Cap,420.71,100,100,320.519687,5.5565236874,21.1457142857,26.626847842317,87.465735255106,82.330681573855,82.017600343421,335.91035262671,1.0,90
HSBC,2002-05-27,HSBC Large and Mid Cap Fund Direct   Growth,2236.16562465,Equity,2019-03-28,1.01,Large & MidCap,19.0177,5000,1000,92.165,4.9921323513,25.9924862806,28.153572214552,89.269181522702,91.466148557764,0.0,0.0,1.0,365
Sundaram,1996-02-26,Sundaram Nifty 100 Equal Weight Fund Direct Growth,59.00715574,Other,2013-01-02,0.57,Index,126.312,100,100,211.074405,4.7503651847,17.9421259426,20.91127435652,88.682001759051,81.797850113896,70.23513054556,207.75939442177,0.0,0
RELIANCE,1995-06-30,Nippon India Equity Hybrid Fund Direct Growth,2965.9283,Hybrid,2012-12-31,1.27,Aggressive Hybrid,86.329,500,100,235.470538,5.0522257859,22.7048897487,28.461297018474,85.665436259562,53.921657326641,48.010965278891,263.96092183528,1.0,360
SBI,1987-06-29,SBI Magnum Global Direct Plan Growth,5986.64310736,Equity,2013-01-01,1.22,Sectoral / Thematic,352.9213,5000,500,404.265291,1.9967016485,18.8012053801,20.657885268463,84.710988119154,105.92404408414,94.420121485338,428.77903566624,1.0,360
KOTAK_MAHINDRA,1994-08-05,Kotak Multi Asset Allocator FoF   Dynamic Direct Growth,1011.7028,Other,2013-01-01,0.11,FoF Overseas/Domestic,179.0,100,100,357.067661,4.6602657492,27.1090330283,34.232327780279,86.273039675101,110.29131692177,126.80106504374,391.74730591599,1.0,365
Edelweiss,2008-04-30,Edelweiss Large Cap Fund Direct  Growth,500.73970205,Equity,2013-01-08,0.91,Large Cap,70.13,5000,100,332.579462,5.6899641577,25.7686156033,29.402084476138,87.2717650172,94.744083654375,90.857605177993,329.95139732685,1.0,90
UTI,2002-11-14,UTI Long Term Equity Fund Direct Growth,3125.8318,Equity,2013-01-01,0.96,ELSS,168.7493,500,500,299.567561,3.9238952412,16.5140706815,17.3498164079,85.793096805195,94.241407485563,88.37193558769,310.76993816778,0.0,0
FRANKLIN_TEMPLETON,1996-02-19,Franklin India Bluechip Direct Fund Growth,6721.63181844,Equity,2013-01-01,0.77,Large Cap,826.4778,5000,500,249.338814,5.4208263961,18.0709344928,16.323039681851,85.811995986638,76.690666687604,74.493298927698,269.78834963702,1.0,365
Sundaram,1996-02-26,Principal Emerging Bluechip Fund Direct  Growth,3124.3181,Equity,2013-01-02,0.92,Large & MidCap,200.1822,300,100,480.911782,2.9849778784,40.4393152799,73.678813118167,87.682542658916,68.873122996456,154.58756199924,0.0,1.0,365
JM_FINANCIAL,1994-09-15,JM Focused Direct Plan Growth,48.15160113,Equity,2013-01-01,1.59,Focused,15.8127,1000,100,301.753852,5.3799448757,26.2760271241,33.941747901435,84.940645884937,71.202517954486,60.865676799089,377.48717948718,1.0,30
LIC,1994-04-20,LIC MF ELSS Direct   Growth,458.8654,Equity,2013-01-02,1.47,ELSS,122.8587,500,500,313.458742,3.2523136849,20.899313541,25.60328906647,86.768352636407,81.788360189131,82.948131946745,323.88017118402,0.0,0
CANARA_ROBECO,1987-12-19,Canara Robeco Flexi Cap Fund Direct Growth,9918.9239,Equity,2013-01-02,0.53,Flexi Cap,270.48,5000,1000,324.180773,4.8886328725,19.9885779555,23.437429384914,86.576951977594,101.24521072797,103.28222685323,346.65576451349,1.0,365
MIRAE_ASSET,2019-04-26,Mirae Asset Focused Fund Direct   Growth,9202.25189861,Equity,2019-05-14,0.58,Focused,21.392,5000,1000,115.68,4.5924057999,15.4851145856,15.87600064471,84.294625309749,107.24512347458,0.0,0.0,1.0,365
Sundaram,1996-02-26,Sundaram Consumption Fund Direct Growth,1223.16535977,Equity,2013-01-02,1.37,Sectoral / Thematic,74.8169,100,100,333.370768,4.4606713174,20.4811369896,30.51076753175,83.73501439347,86.951352446961,72.705476167641,393.70479646988,1.0,365
KOTAK_MAHINDRA,1994-08-05,Kotak Bluechip Fund Direct Growth,6080.8949,Equity,2013-01-01,0.54,Large Cap,466.357,100,100,323.771849,5.3728719261,20.9408236869,24.238226056565,84.83257473436,94.311732334196,94.368365311199,341.20146479188,1.0,365
UTI,2002-11-14,UTI Dividend Yield Fund Direct Growth,2992.1918,Equity,2013-01-01,1.44,Dividend Yield,126.0965,5000,500,259.638905,6.9096939887,21.7495167268,21.196340158769,85.081010941394,93.735115252122,90.982620786593,292.07634470792,1.0,365
IDBI,2010-03-29,IDBI Banking & Financial Services Fund Direct   Growth,86.6238,Equity,2018-06-04,1.5,Sectoral / Thematic,16.29,5000,500,64.243028,5.232929164,24.171686747,24.078254326561,81.208791208791,55.86011342155,62.463054187192,0.0,1.0,360
IDBI,2010-03-29,IDBI Equity Advantage Fund Direct Growth,484.9052,Equity,2013-09-10,1.21,ELSS,48.77,500,500,388.4,4.8518677544,21.3416149068,27.055150884495,83.195798949737,84.510766905931,72.275132275132,0.0,0.0,0
IDBI,2010-03-29,IDBI Dividend Yield Fund Direct   Growth,89.8214,Equity,2018-12-21,1.5,Dividend Yield,20.55,5000,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360
Invesco,2006-07-24,Invesco India Growth Opportunities Fund Direct Growth,3986.4453,Equity,2013-01-01,0.66,Large & MidCap,67.94,1000,100,391.901663,4.1966610507,22.180316092,22.070698008254,83.171782444803,89.445836814257,85.367847411444,400.95729013255,1.0,365
HSBC,2002-05-27,HSBC Flexi Cap Fund Direct Growth,3416.37806926,Equity,2013-01-01,1.21,Flexi Cap,161.3512,5000,1000,321.527319,5.8924176649,24.9412116297,27.681699575342,85.478672010336,82.875293825852,74.216563382701,313.91098216632,1.0,365
Quantum,2005-09-19,Quantum India ESG Equity Fund Direct   Growth,68.7171,Equity,2019-07-12,0.97,Sectoral / Thematic,18.78,500,500,89.3,4.5278851463,18.6833855799,16.924027177269,84.86328125,91.212121212121,0.0,0.0,1.0,365
HSBC,2002-05-27,HSBC ELSS Fund Direct Growth,3289.6407674,Equity,2013-01-01,1.11,ELSS,94.712,500,1000,304.004954,3.8725841552,23.1596933356,21.658638346292,83.854751805571,78.715710491614,65.855251818401,321.21208141825,0.0,0
SBI,1987-06-29,SBI Equity Minimum Variance Fund Direct   Growth,153.17170036,Equity,2019-03-19,0.42,Sectoral / Thematic,18.9738,5000,500,91.214647,4.2583983861,21.8448685669,28.687038189839,83.697636456713,95.264789831413,0.0,0.0,0.5,15
IDFC,1999-12-20,Bandhan Nifty 50 Index Fund Direct Plan Growth,807.5072,Other,2013-01-01,0.1,Index,42.4346,1000,100,265.806215,5.9010039646,20.9738154719,27.537531474179,81.96399067994,82.768466156903,86.669274228596,269.81239291587,0.0,0
LIC,1994-04-20,LIC  MFDividend Yield Fund Direct   Growth,89.8214,Equity,2018-12-21,1.5,Dividend Yield,20.54,5000,500,99.707031,5.0873586845,21.8712753278,26.00123228589,83.737646001796,104.5,0.0,0.0,1.0,360
UTI,2002-11-14,UTI Nifty 50 Index Fund Direct Growth,11585.847,Other,2013-01-01,0.2,Index,132.468,5000,500,261.089188,5.9005899492,20.9153129602,27.294541657163,81.816444032216,81.438836743494,85.354881385984,266.95792510963,0.0,0
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Equity Advantage Fund Direct  Growth,5111.1669,Equity,2013-01-01,1.11,Large & MidCap,735.08,1000,1000,346.288104,5.1037593126,18.752519633,11.134250875286,80.199182714659,82.544246690793,63.860086333496,396.60799784207,1.0,90
HDFC,1999-12-10,HDFC Index Fund Nifty 50 Plan Direct  Growth,8972.9961,Other,2013-01-01,0.2,Index,184.4127,100,100,265.954577,5.8928911351,20.8984523189,27.202768864615,81.618489404737,80.738603921508,84.546385185635,267.03827624171,0.25,3
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Nifty 50 Index Direct Plan Growth,4821.89608689,Other,2013-01-01,0.17,Index,199.3975,100,100,263.970754,5.8945963726,20.8910892855,27.251241344388,81.508837307301,81.445821842619,84.813626992178,267.42149321921,0.0,0
SBI,1987-06-29,SBI Nifty Index Direct Plan Growth,4595.99291251,Other,2013-01-01,0.18,Index,176.2451,5000,500,250.189896,5.9131695501,20.9219905878,27.281194246346,81.50047266616,80.118288989161,83.63012123906,256.19313969944,0.2,15
RELIANCE,1995-06-30,Nippon India Index Fund Nifty 50 Plan Direct  Growth,943.0967,Other,2013-01-01,0.2,Index,34.9682,100,100,262.256292,5.8908174927,20.8576472235,27.209637480368,81.435462127153,80.959611451942,84.529444884681,260.58821731645,0.25,7
KOTAK_MAHINDRA,1994-08-05,Kotak Flexicap Fund Direct Growth,39236.78290594,Equity,2013-01-01,0.63,Flexi Cap,65.987,100,100,394.313464,5.1840282708,21.7238105671,23.803245812752,80.734616427216,80.690533618797,83.966116660228,425.68792872349,1.0,365
Sundaram,1996-02-26,Sundaram Large Cap Fund Direct   Growth,3061.90491638,Equity,2020-10-08,0.57,Large Cap,17.3927,100,100,76.735,6.6853796933,22.455413439,27.413308341143,81.480720850233,81.781247428618,86.912379038654,297.22871527466,1.0,365
Tata,1995-06-30,Tata Nifty 50 Index Direct,454.84707639,Other,2013-01-01,0.2,Index,129.3568,5000,150,264.800136,5.8692588391,20.8689431074,27.346600944592,81.310946479263,81.051710214827,85.043592059164,259.98091959838,0.25,7
MOTILAL_OSWAL,2009-12-29,Motilal Oswal Nifty 50 Index Fund Direct   Growth,295.4994,Other,2019-12-23,0.14,Index,16.521,500,500,67.235,5.9005680199,20.9577676679,27.269752362977,81.363192712287,0.0,0.0,0.0,0.0,0
DSP,1996-12-16,DSP Nifty 50 Index Fund Direct   Growth,367.4726,Other,2019-02-21,0.22,Index,18.5759,100,100,89.396,5.8953771834,20.8499234303,27.211300148438,81.247129076711,80.274129069103,0.0,0.0,0.0,0
HSBC,2002-05-27,HSBC Nifty 50 Index Fund Direct   Growth,191.05210758,Other,2020-04-16,0.2,Index,22.2746,5000,1000,127.114,5.7849776892,20.6833519316,27.177735468697,81.140532780347,0.0,0.0,0.0,1.0,30
UTI,2002-11-14,UTI Mastershare Direct Growth,11306.3901,Equity,2013-01-01,0.93,Large Cap,225.3353,100,100,291.219726,5.0287667284,17.2627546023,21.256396924585,81.427838475275,84.642479546782,84.090175340042,301.59294715472,1.0,365
DSP,1996-12-16,DSP Midcap Direct Plan Growth,13924.2594,Equity,2013-01-01,0.75,Mid Cap,108.441,100,100,422.398014,5.9004065843,19.5013307498,13.637181917338,79.464838197173,96.504303241164,88.522890973613,553.73743527262,1.0,360
IDBI,2010-03-29,IDBI Nifty 50 Index Fund Direct Growth,207.732,Other,2013-01-01,0.32,Index,39.3815,5000,500,250.663977,5.9573774173,20.7759836917,27.193871984288,80.247570453439,79.888443105075,83.721533890488,253.67723168077,0.0,0
BARODABNPPARIBASMUTUALFUND_MF,2004-04-15,Baroda BNP Paribas Focused Fund Direct   Growth,374.639,Equity,2017-10-06,0.61,Focused,17.8,5000,500,81.476,5.6007820728,21.7012258913,27.674124102997,83.179570001009,87.03081521179,82.168239309375,0.0,1.0,360
IDFC,1999-12-20,Bandhan Flexi Cap Fund Direct Growth,5988.7659,Equity,2013-01-01,1.2,Flexi Cap,160.073,1000,100,299.02317,4.9092897873,18.139941691,20.807930237758,81.998652593757,74.626158155569,63.49404881985,338.98211442004,1.0,365
IDFC,1999-12-20,Bandhan Hybrid Equity Fund Direct   Growth,602.5846,Hybrid,2016-12-30,1.15,Aggressive Hybrid,20.753,1000,100,108.11,4.2896517164,17.9761904762,20.643478260869,82.712906057945,78.942390369733,73.569641367806,0.0,1.0,360
LIC,1994-04-20,LIC MF Nifty 50 Index Fund Direct Growth,64.3205,Other,2013-01-02,0.2,Index,113.4938,5000,1000,246.515535,5.8650664183,20.892751358,27.203269836244,80.394119389489,79.93266726276,82.961565646104,250.70498520925,0.25,7
CANARA_ROBECO,1987-12-19,Canara Robeco Bluechip Equity Fund Direct Growth,9946.1436,Equity,2013-01-02,0.43,Large Cap,51.9,5000,1000,333.030553,5.4494269053,21.4169946747,24.206537186167,81.578947368421,100.22909507446,105.00390930414,340.67226890756,1.0,365
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Nifty 50 Index Fund Direct Growth,614.8356,Other,2013-01-01,0.32,Index,198.0077,100,100,242.149548,5.88140207,20.6932556787,26.938495815658,80.280737480054,79.986099212827,82.542932291932,246.71574766646,0.0,0
HDFC,1999-12-10,HDFC Index S&P BSE Sensex Direct Plan Growth,5070.8833,Other,2013-01-01,0.2,Index,607.1455,100,100,279.108228,6.0255617046,21.9068707732,28.727136300497,79.817095617541,81.96946745812,88.191160115739,271.95770463396,0.25,3
FRANKLIN_TEMPLETON,1996-02-19,Franklin India NSE Nifty 50 Index Direct Growth,537.3008825,Other,2013-01-01,0.24,Index,160.9203,5000,500,250.021762,5.6405639984,20.5399455999,26.716537227201,80.103017635073,78.951800447657,81.71809095098,251.94175277968,0.0,0
RELIANCE,1995-06-30,Nippon India Index Fund S&P BSE Sensex Plan Direct Growth,476.5905,Other,2013-01-01,0.15,Index,34.7727,5000,100,270.141792,6.0230089774,21.9186659978,28.865372449931,79.772690173032,82.6565148209,88.490894017596,260.57173844092,0.25,7
SBI,1987-06-29,SBI Magnum Equity ESG Fund Direct Plan Growth,4913.5329,Equity,2013-01-01,1.34,Sectoral / Thematic,195.8124,1000,500,306.116495,4.8412981028,18.2321586141,23.330605405804,80.123675477157,81.047533520171,88.108651700094,321.85200970639,1.0,365
Taurus,1993-08-20,Taurus Nifty 50 Index Fund Direct Growth,2.6903,Other,2013-01-01,0.63,Index,39.1751,500,500,254.611334,5.7397756522,19.8079127236,25.120795653236,80.76433813044,79.919705858498,82.823510020191,260.7887960244,0.5,7
Quantum,2005-09-19,Quantum Equity Fund of Funds Direct Growth,98.7115,Other,2009-07-20,0.51,FoF Overseas/Domestic,60.319,500,500,505.83,4.6085575163,19.8903665004,20.400254382129,79.229039701792,77.070789735196,74.762014654127,333.23083524027,1.0,365
ITI,2018-05-14,ITI Multi Cap Fund Direct   Growth,595.28,Equity,2019-05-15,0.5,Multi Cap,17.5646,1000,500,76.767,6.6036654867,28.5148241316,17.579720363447,82.414554610748,74.414153075018,0.0,0.0,1.0,90
MIRAE_ASSET,2019-04-26,Mirae Asset Large Cap Fund Direct  Growth,35547.60937175,Equity,2013-01-01,0.55,Large Cap,95.567,5000,1000,411.720619,5.3397527082,18.7170127756,22.529241812928,78.907266307377,80.805709456286,91.125670041691,435.93497745365,1.0,365
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential S&P BSE Sensex Index Fund Direct   Growth,1031.14643075,Other,2017-09-21,0.16,Index,21.1774,100,100,116.376,6.0245686762,21.8230442249,28.547325396259,79.168150239717,82.839566679623,88.39878101872,0.0,0.0,0
Invesco,2006-07-24,Invesco India Largecap Fund Direct Growth,800.6558,Equity,2013-01-01,0.81,Large Cap,57.12,1000,100,339.329268,4.9908925319,21.6547066273,24.870017331022,80.18130665833,87.021414665801,84.388995521433,338.99466869764,0.0,0
LIC,1994-04-20,LIC MF S&P BSE Sensex Fund Direct  Growth,71.5556,Other,2013-01-02,0.38,Index,128.985,5000,1000,255.254475,6.0001367378,21.8525141607,28.550358771864,78.589607031637,81.205329519985,86.40953030273,251.81090843079,0.25,7
Invesco,2006-07-24,Invesco India Tax Plan Direct Growth,2102.5196,Equity,2013-01-01,0.9,ELSS,101.61,500,500,413.737374,4.3282051282,21.2974004293,16.98677400805,77.552801536044,90.308699719363,82.261243504748,439.34252386002,0.0,0
BARODABNPPARIBASMUTUALFUND_MF,2004-04-15,Baroda BNP Paribas Large Cap Fund Direct Growth,1458.2828033,Equity,2013-01-02,0.95,Large Cap,178.2706,5000,500,351.585439,6.0953230729,21.9656682753,26.984507778472,78.446917344374,88.336708810569,97.156017616372,348.63792049234,1.0,360
ITI,2018-05-14,ITI Long Term Equity Fund Direct   Growth,188.4484,Equity,2019-10-18,0.5,ELSS,17.0611,500,500,72.558,4.4584213617,25.0764703324,15.503761814238,81.500531170784,0.0,0.0,0.0,0.0,0
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Focused Equity Fund Direct Growth,6148.0011,Equity,2013-01-01,0.89,Focused,111.7115,1000,1000,325.851585,6.108629962,19.4095762989,23.745760118193,78.626016066363,80.494741067844,84.623306571357,354.04937044802,1.0,90
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Retirement Fund   Hybrid Aggressive Plan Direct   Growth,191.84764754,Solution Oriented,2019-02-27,1.12,Retirement,18.49,5000,100,85.8,7.0276497696,23.2095490716,30.020993701889,78.653846153846,79.343629343629,0.0,0.0,0.0,0
FRANKLIN_TEMPLETON,1996-02-19,Franklin India Equity Hybrid Fund Direct Growth,1432.5354888,Hybrid,2013-01-01,0.85,Aggressive Hybrid,222.8041,5000,500,305.53548,4.6939170991,19.6559678672,22.067215333566,77.764973021261,75.842078284742,81.769287969475,311.76269164494,1.0,365
Tata,1995-06-30,Tata S&P BSE Sensex Index Direct,249.59365714,Other,2013-01-01,0.27,Index,171.8509,5000,150,263.162778,6.0596742274,21.7279453646,28.343780786952,77.94556501253,81.117087926428,87.560639687457,261.42277021657,0.25,7
BARODABNPPARIBASMUTUALFUND_MF,2004-04-15,Baroda BNP Paribas ELSS Direct Growth,713.9784,Equity,2013-01-02,1.14,ELSS,71.1574,500,500,321.827736,4.4335684259,20.0906960496,21.305449701234,78.219238907451,85.283938518671,86.023696461583,334.43323779463,0.0,0
IDBI,2010-03-29,IDBI Focused 30 Equity Fund Direct   Growth,131.4864,Equity,2017-11-17,1.61,Focused,18.11,5000,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,360
Axis,2009-09-04,Axis Nifty 100 Index Fund Direct   Growth,926.651504,Other,2019-10-18,0.15,Index,16.9929,500,100,71.695,5.6084193951,18.3850349236,24.506889050036,78.291796469366,0.0,0.0,0.0,0.0,0
UNION_KBC,2009-12-30,Union Largecap Fund Direct   Growth,250.5013,Equity,2017-05-11,1.72,Large Cap,18.89,1000,1000,92.7,6.3465783664,20.663744521,24.563671622495,77.931671283471,79.757462686567,77.603686635944,0.0,1.0,15
FRANKLIN_TEMPLETON,1996-02-19,Franklin India Technology Fund Direct  Growth,805.89339902,Equity,2013-01-01,0.98,Sectoral / Thematic,375.2487,5000,500,498.586772,6.295695264,25.5263700415,10.56898797447,80.19345235169,122.24197443436,125.77551108401,384.2181743244,1.0,365
LIC,1994-04-20,LIC MF Focused 30 Equity Fund Direct   Growth,131.4864,Equity,2017-11-17,1.61,Focused,17.97,5000,500,82.1,4.9567723343,19.4098360656,26.195426195426,78.005865102639,83.199195171026,73.759541984732,0.0,1.0,360
Taurus,1993-08-20,Taurus Tax Shield Direct Growth,64.1865,Equity,2013-01-01,1.78,ELSS,142.11,500,500,266.342213,4.5085860431,24.8646760957,26.543974517784,78.018421707742,81.681910569105,72.729468599033,308.62857142857,0.0,0
Tata,1995-06-30,Tata Multi Asset Opportunities Fund Direct   Growth,1666.13159283,Hybrid,2020-03-04,0.5,Multi Asset Allocation,18.8647,5000,150,89.405,4.4998868959,19.7916666667,27.398752951147,75.853712885076,0.0,0.0,0.0,1.0,365
HSBC,2002-05-27,HSBC Large Cap Fund Direct Growth,1532.38697733,Equity,2013-01-01,1.22,Large Cap,381.8635,5000,1000,258.235373,5.1475696237,20.2109376481,23.382786440584,75.802181563047,76.412314929277,77.525790888458,280.74563747359,1.0,365
UTI,2002-11-14,UTI Flexi Cap Fund Direct Growth,26032.5287,Equity,2013-01-01,0.88,Flexi Cap,265.7605,5000,500,319.521067,2.4095178846,12.0344636494,6.69459677264,76.846961311266,91.970471913584,80.011361989743,330.55083194864,1.0,365
Tata,1995-06-30,Tata Hybrid Equity Fund Direct Plan Growth,3377.74555215,Hybrid,2013-01-01,0.99,Aggressive Hybrid,382.7106,5000,150,286.382507,4.8154772306,19.217965961,26.601183631626,74.382344563158,72.934622015662,78.209999505583,302.20103158364,1.0,365
DHFL_PRAMERICA,2010-05-13,PGIM India Large Cap Fund Direct Plan Growth,485.5719,Equity,2013-01-01,0.91,Large Cap,309.59,5000,1000,300.267789,4.8116735675,22.0507037872,20.186085691312,76.095371669004,73.958102416315,76.481502305183,294.87985910177,0.5,90
HSBC,2002-05-27,HSBC Managed Solutions India Growth Fund Direct  Growth,38.05863201,Other,2014-04-30,1.05,FoF Overseas/Domestic,30.9388,5000,1000,210.418,4.1849444032,19.7775908505,21.319112514607,74.128984848739,75.168584342958,72.247747147867,0.0,1.0,365
INDIABULLS,2008-04-10,Groww ELSS Tax Saver Fund Direct   Growth,38.12207669,Equity,2017-12-28,0.85,ELSS,15.99,500,500,62.3,5.4580896686,18.4671532847,22.675736961451,72.659574468085,70.48319327731,67.147270854788,0.0,0.0,0
DSP,1996-12-16,DSP Healthcare Fund Direct   Growth,1369.5236,Equity,2018-11-30,0.75,Sectoral / Thematic,27.634,100,100,170.45,6.8930081815,27.2885583847,14.490728981457,79.665183019996,164.96521994709,0.0,0.0,1.0,360
Taurus,1993-08-20,Taurus Ethical Fund Direct Growth,97.5247,Equity,2013-01-01,1.26,Sectoral / Thematic,102.96,500,500,327.618243,5.3255668816,16.672427699,16.123853211009,77.617961761094,96.583187730537,86.86104447315,332.36549957301,1.0,365
Tata,1995-06-30,Tata Flexi Cap Fund Direct   Growth,2291.56510838,Equity,2018-09-06,0.73,Flexi Cap,18.9529,5000,150,89.734,5.6378335041,19.6606962664,21.319504834006,73.108645669866,82.877907256937,0.0,0.0,1.0,360
HDFC,1999-12-10,HDFC Dynamic PE Ratio FoF Direct  Growth,34.2346,Other,2013-01-01,0.33898182,FoF Overseas/Domestic,34.5357,100,100,217.770915,3.6528845347,21.9046712431,27.028278144965,73.455238668573,77.52157684231,87.091869311602,204.6880920699,1.0,365
SBI,1987-06-29,SBI Healthcare Opportunities Fund Direct Plan Growth,1843.3489,Equity,2013-01-01,1.05,Sectoral / Thematic,307.7402,5000,500,402.263455,6.5520714325,32.9282564637,16.076022307472,83.999664086052,156.94347309195,150.53265488918,349.3478894087,0.5,15
DSP,1996-12-16,DSP Top 100 Equity Direct Plan Growth,2900.9263,Equity,2013-01-01,1.26,Large Cap,354.509,100,100,213.771455,5.7816696409,23.1543890528,19.243595827012,73.435009137213,70.447749787445,65.697436849925,238.15931618748,1.0,360
IDFC,1999-12-20,Bandhan Large Cap Fund Direct Growth,1162.5811,Equity,2013-01-01,0.94,Large Cap,61.303,1000,100,259.306334,5.5434930113,20.2551217627,24.939759036144,76.310569566449,84.246372519988,80.034722222222,258.05950394199,1.0,365
ICICI_PRUDENTIAL,1993-10-12,ICICI Prudential Child Care Gift Fund Direct Plan,950.20834976,Solution Oriented,2013-01-01,1.59,Children's,242.36,5000,100,272.964269,5.1582497406,20.8376807274,26.704871060171,70.219764837625,65.753424657534,71.250528094634,337.90061217141,0.0,0
IDBI,2010-03-29,IDBI Nifty Next 50 Index Fund Direct Growth,56.1004,Other,2013-01-01,0.32,Index,36.5471,5000,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BIRLA_SUN_LIFE,1994-12-23,Aditya Birla Sun Life Manufacturing Equity Fund Direct Growth,678.1792,Equity,2015-01-31,1.58,Sectoral / Thematic,23.85,1000,1000,79.022556,5.9635068981,20.2525252525,14.471153846153,74.177029992684,86.891679748822,69.466192170818,0.0,1.0,90
